id,name,category_id,price
1,Wireless Bluetooth Headphones,3,79.99
2,Organic Cotton T-Shirt,2,24.5
3,Stainless Steel Water Bottle,2,18.75
4,Smart Home Security Camera,5,129.99
5,Leather Laptop Messenger Bag,3,89.0
6,Yoga Mat with Carrying Strap,2,34.99
7,Noise-Canceling Wireless Earbuds,4,99.5
8,Vintage Leather Wallet,3,45.25
9,Programmable Coffee Maker,2,65.75
10,Running Performance Shorts,2,29.99
11,Portable Bluetooth Speaker,4,59.99
12,Premium Yoga Block Set,2,22.5
13,Men's Leather Dress Shoes,1,119.0
14,Ergonomic Desk Chair,4,249.99
15,Smart Fitness Tracker Watch,1,89.5
16,Leather Travel Backpack,3,95.75
17,Plant-Based Protein Powder,2,39.99
18,Wireless Charging Pad,3,34.5
19,Bamboo Cooking Utensil Set,5,26.99
20,Designer Sunglasses,5,149.99
