id,name,industry,website,status,created_at
1,TechInnovate Solutions,Information Technology,https://techinnovate.com,Prospect,2023-01-15
2,MediCare Health Systems,Healthcare,https://medicarehealth.org,Active,2023-02-22
3,FinPro Consulting Group,Financial Services,https://finproconsulting.com,Prospect,2023-03-10
4,GreenEnergy Innovations,Renewable Energy,https://greenenergy.io,Prospect,2023-04-05
5,EduTech Learning Solutions,Education Technology,https://edutech.com,Active,2023-05-18
6,RetailPro Management,Retail,https://retailpro.net,Prospect,2023-06-30
7,ManufactureTech Solutions,Manufacturing,https://manufacturetechsolutions.com,Prospect,2023-07-12
8,LogiCore Transportation,Logistics,https://logicore.com,Active,2023-08-25
9,AgriTech Innovations,Agriculture,https://agritech.io,Inactive,2023-09-07
10,MediaPro Communications,Media & Entertainment,https://mediapro.com,Prospect,2023-10-20
